kid_name,activity,calendar_source,time,duration,frequency,days_of_week,start_date,end_date,address,pickup_driver,return_driver
All,🕎1️⃣ Chanukah: 1 Candle,Jewish,00:00:00,0,one-time,"[""sunday""]",2025-12-14,2025-12-14,Location TBD,N/A,N/A
All,🕎2️⃣ Chanukah: 2 Candles,Jewish,00:00:00,0,one-time,"[""monday""]",2025-12-15,2025-12-15,Location TBD,N/A,N/A
All,🕎3️⃣ Chanukah: 3 Candles,Jewish,00:00:00,0,one-time,"[""tuesday""]",2025-12-16,2025-12-16,Location TBD,N/A,N/A
All,🕎4️⃣ Chanukah: 4 Candles,Jewish,00:00:00,0,one-time,"[""wednesday""]",2025-12-17,2025-12-17,Location TBD,N/A,N/A
All,🕎5️⃣ Chanukah: 5 Candles,Jewish,00:00:00,0,one-time,"[""thursday""]",2025-12-18,2025-12-18,Location TBD,N/A,N/A
All,🕎6️⃣ Chanukah: 6 Candles,Jewish,00:00:00,0,one-time,"[""friday""]",2025-12-19,2025-12-19,Location TBD,N/A,N/A
All,✡️ Chag HaBanot,Jewish,00:00:00,0,one-time,"[""saturday""]",2025-12-20,2025-12-20,Location TBD,N/A,N/A
All,🕎7️⃣ Chanukah: 7 Candles,Jewish,00:00:00,0,one-time,"[""saturday""]",2025-12-20,2025-12-20,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Tevet,Jewish,00:00:00,0,one-time,"[""saturday""]",2025-12-20,2025-12-20,Location TBD,N/A,N/A
All,🕎8️⃣ Chanukah: 8 Candles,Jewish,00:00:00,0,one-time,"[""sunday""]",2025-12-21,2025-12-21,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Tevet,Jewish,00:00:00,0,one-time,"[""sunday""]",2025-12-21,2025-12-21,Location TBD,N/A,N/A
All,🕎 Chanukah: 8th Day,Jewish,00:00:00,0,one-time,"[""monday""]",2025-12-22,2025-12-22,Location TBD,N/A,N/A
All,✡️ Asara B’Tevet,Jewish,00:00:00,0,one-time,"[""tuesday""]",2025-12-30,2025-12-30,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Sh’vat,Jewish,00:00:00,0,one-time,"[""monday""]",2026-01-19,2026-01-19,Location TBD,N/A,N/A
All,🕍 Shabbat Shirah,Jewish,00:00:00,0,weekly,"[""saturday""]",2026-01-31,2026-01-31,Location TBD,N/A,N/A
All,🌳 Tu BiShvat,Jewish,00:00:00,0,one-time,"[""monday""]",2026-02-02,2026-02-02,Location TBD,N/A,N/A
